
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 15:15:57 2017

Changed value of parameter logfile to result/NEIS-20170608T1453/scenario_CO2-price-0010.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [3e-03, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.97s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.43s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74498165e+11 -2.71538744e+11  8.79e+02 6.66e+03  2.06e+07     5s
   1   2.95597984e+11 -9.41542590e+10  6.46e+02 1.38e+04  6.75e+06     5s
   2   2.88628990e+11 -6.53671985e+10  6.37e+02 6.79e+03  5.94e+06     6s
   3   1.92879571e+11 -9.02628060e+10  4.16e+02 2.19e+02  3.94e+06     6s
 161   1.05814634e+07  1.04289610e+07  2.79e-07 3.07e-09  2.04e-01    96s
 162   1.05735648e+07  1.04359692e+07  2.56e-07 3.80e-09  1.84e-01    96s
 163   1.05588904e+07  1.04433626e+07  2.13e-07 4.18e-09  1.55e-01    97s
 164   1.05511902e+07  1.04505789e+07  1.90e-07 5.66e-09  1.35e-01    97s
 165   1.05416229e+07  1.04559574e+07  1.63e-07 4.90e-09  1.15e-01    98s
 166   1.05349418e+07  1.04612480e+07  1.43e-07 4.54e-09  9.88e-02    98s
 167   1.05302720e+07  1.04649089e+07  1.30e-07 3.73e-09  8.76e-02    99s
 168   1.05263723e+07  1.04681020e+07  1.19e-07 3.09e-09  7.81e-02    99s
 169   1.05179195e+07  1.04695228e+07  9.54e-08 3.53e-09  6.49e-02    99s
 170   1.05136997e+07  1.04717245e+07  8.37e-08 2.63e-09  5.63e-02   100s
 171   1.05075314e+07  1.04732870e+07  6.65e-08 2.87e-09  4.59e-02   100s
 172   1.05044509e+07  1.04743895e+07  5.79e-08 2.27e-09  4.03e-02   101s
 173   1.05024336e+07  1.04756219e+07  5.20e-08 1.96e-09  3.59e-02   101s
 174   1.05002734e+07  1.04770327e+07  4.58e-08 2.98e-10  3.12e-02   101s
 175   1.04969133e+07  1.04781049e+07  3.61e-08 6.55e-10  2.52e-02   102s
 176   1.04943614e+07  1.04789519e+07  2.89e-08 1.10e-09  2.07e-02   102s
 177   1.04933299e+07  1.04795073e+07  2.60e-08 9.68e-10  1.85e-02   103s
 178   1.04923545e+07  1.04797535e+07  2.33e-08 1.27e-09  1.69e-02   103s
 179   1.04905648e+07  1.04802736e+07  1.83e-08 1.75e-09  1.38e-02   103s
 180   1.04897057e+07  1.04809169e+07  1.58e-08 3.19e-09  1.18e-02   104s
 181   1.04886515e+07  1.04813827e+07  1.29e-08 3.62e-09  9.74e-03   104s
 182   1.04876595e+07  1.04818918e+07  1.02e-08 2.69e-09  7.73e-03   105s
 183   1.04869755e+07  1.04822948e+07  8.34e-09 1.27e-09  6.27e-03   105s
 184   1.04866456e+07  1.04825815e+07  7.47e-09 5.38e-10  5.45e-03   105s
 185   1.04859477e+07  1.04827820e+07  5.62e-09 5.82e-10  4.24e-03   106s
 186   1.04857622e+07  1.04828878e+07  5.12e-09 5.82e-11  3.85e-03   106s
 187   1.04853440e+07  1.04830979e+07  4.09e-09 8.44e-10  3.01e-03   107s
 188   1.04852033e+07  1.04832047e+07  3.70e-09 2.91e-10  2.68e-03   107s
 189   1.04850115e+07  1.04833044e+07  3.20e-09 2.84e-10  2.29e-03   107s
 190   1.04848342e+07  1.04833372e+07  2.72e-09 3.64e-10  2.01e-03   108s
 191   1.04846436e+07  1.04834262e+07  2.23e-09 1.16e-10  1.63e-03   108s
 192   1.04845738e+07  1.04834411e+07  2.04e-09 1.16e-10  1.52e-03   109s
 193   1.04844562e+07  1.04834742e+07  1.72e-09 8.66e-10  1.32e-03   109s
 194   1.04843599e+07  1.04835458e+07  1.47e-09 2.36e-09  1.09e-03   110s
 195   1.04842364e+07  1.04835950e+07  1.16e-09 5.86e-09  8.60e-04   110s
 196   1.04841616e+07  1.04836083e+07  1.15e-09 2.66e-09  7.42e-04   111s
 197   1.04840771e+07  1.04836255e+07  7.49e-10 2.22e-09  6.05e-04   111s
 198   1.04840588e+07  1.04836545e+07  7.01e-10 1.84e-09  5.42e-04   112s
 199   1.04839562e+07  1.04837079e+07  4.39e-10 6.04e-10  3.33e-04   113s
 200   1.04839069e+07  1.04837267e+07  3.08e-10 6.84e-10  2.42e-04   113s
 201   1.04838405e+07  1.04837410e+07  5.51e-10 4.95e-10  1.33e-04   115s
 202   1.04838161e+07  1.04837565e+07  5.72e-09 2.95e-09  7.99e-05   115s
 203   1.04838097e+07  1.04837632e+07  2.13e-08 5.36e-09  6.24e-05   116s
 204   1.04838016e+07  1.04837701e+07  2.05e-07 7.83e-09  4.23e-05   117s
 205   1.04838016e+07  1.04837701e+07  6.95e-06 8.24e-09  4.23e-05   118s
 206   1.04838001e+07  1.04837717e+07  6.36e-06 7.85e-09  3.81e-05   118s
 207   1.04837975e+07  1.04837736e+07  5.30e-06 7.92e-09  3.20e-05   119s
 208   1.04837904e+07  1.04837823e+07  2.56e-06 2.70e-07  1.09e-05   119s
